0,1.22715,2.45412,3.68072,4.90677,6.13207,7.35646,8.57973,9.80171,11.0222,12.2411,13.4581,14.673,15.8858,17.0962,18.304,19.509,
20.7111,21.9101,23.1058,24.298,25.4866,26.6713,27.852,29.0285,30.2006,31.3682,32.531,33.689,34.8419,35.9895,37.1317,38.2683,
39.3992,40.5241,41.643,42.7555,43.8616,44.9611,46.0539,47.1397,48.2184,49.2898,50.3538,51.4103,52.459,53.4998,54.5325,55.557,
56.5732,57.5808,58.5798,59.5699,60.5511,61.5232,62.486,63.4393,64.3832,65.3173,66.2416,67.1559,68.0601,68.9541,69.8376,70.7107,
71.5731,72.4247,73.2654,74.0951,74.9136,75.7209,76.5167,77.301,78.0737,78.8346,79.5837,80.3208,81.0457,81.7585,82.4589,83.147,
83.8225,84.4854,85.1355,85.7729,86.3973,87.0087,87.607,88.1921,88.764,89.3224,89.8674,90.3989,90.9168,91.421,91.9114,92.3879,
92.8506,93.2993,93.7339,94.1544,94.5607,94.9528,95.3306,95.694,96.0431,96.3776,96.6977,97.0031,97.294,97.5702,97.8317,98.0785,
98.3105,98.5278,98.7301,98.9176,99.0903,99.248,99.3907,99.5185,99.6313,99.729,99.8118,99.8795,99.9322,99.9699,99.9925,100,
99.9925,99.9699,99.9322,99.8795,99.8118,99.729,99.6313,99.5185,99.3907,99.2479,99.0903,98.9176,98.7301,98.5278,98.3105,98.0785,
97.8317,97.5702,97.294,97.0031,96.6976,96.3776,96.0431,95.694,95.3306,94.9528,94.5607,94.1544,93.7339,93.2993,92.8506,92.3879,
91.9114,91.421,90.9168,90.3989,89.8674,89.3224,88.764,88.1921,87.607,87.0087,86.3973,85.7729,85.1355,84.4854,83.8225,83.147,
82.4589,81.7585,81.0457,80.3208,79.5837,78.8346,78.0737,77.301,76.5167,75.7209,74.9136,74.0951,73.2654,72.4247,71.5731,70.7107,
69.8376,68.954,68.0601,67.1559,66.2416,65.3173,64.3831,63.4393,62.4859,61.5232,60.5511,59.5699,58.5798,57.5808,56.5732,55.557,
54.5325,53.4997,52.459,51.4103,50.3538,49.2898,48.2184,47.1397,46.0539,44.9611,43.8616,42.7555,41.6429,40.5241,39.3992,38.2683,
37.1317,35.9895,34.8418,33.689,32.531,31.3682,30.2006,29.0284,27.8519,26.6712,25.4865,24.298,23.1058,21.9101,20.7111,19.509,
18.304,17.0962,15.8858,14.673,13.4581,12.241,11.0222,9.80169,8.5797,7.35644,6.13203,4.90675,3.68068,2.4541,1.2271,-3.25841e-05,
-1.22717,-2.45416,-3.68074,-4.90681,-6.1321,-7.35651,-8.57976,-9.80173,-11.0223,-12.2411,-13.4581,-14.6731,-15.8858,-17.0962,-18.304,-19.5091,
-20.7112,-21.9102,-23.1058,-24.298,-25.4866,-26.6713,-27.852,-29.0285,-30.2006,-31.3682,-32.5311,-33.689,-34.8419,-35.9895,-37.1317,-38.2684,
-39.3992,-40.5242,-41.643,-42.7555,-43.8616,-44.9612,-46.0539,-47.1397,-48.2184,-49.2898,-50.3539,-51.4103,-52.459,-53.4998,-54.5325,-55.557,
-56.5732,-57.5809,-58.5798,-59.57,-60.5511,-61.5232,-62.486,-63.4393,-64.3832,-65.3173,-66.2416,-67.1559,-68.0601,-68.9541,-69.8376,-70.7107,
-71.5731,-72.4247,-73.2654,-74.0951,-74.9137,-75.7209,-76.5168,-77.3011,-78.0738,-78.8347,-79.5837,-80.3208,-81.0457,-81.7585,-82.4589,-83.147,
-83.8225,-84.4854,-85.1355,-85.7729,-86.3973,-87.0087,-87.607,-88.1922,-88.764,-89.3224,-89.8675,-90.3989,-90.9168,-91.421,-91.9114,-92.388,
-92.8506,-93.2993,-93.7339,-94.1544,-94.5607,-94.9528,-95.3306,-95.694,-96.0431,-96.3776,-96.6977,-97.0031,-97.294,-97.5702,-97.8317,-98.0785,
-98.3106,-98.5278,-98.7302,-98.9176,-99.0903,-99.248,-99.3907,-99.5185,-99.6313,-99.729,-99.8118,-99.8795,-99.9322,-99.9699,-99.9925,-100,
-99.9925,-99.9699,-99.9322,-99.8795,-99.8118,-99.729,-99.6313,-99.5185,-99.3907,-99.2479,-99.0903,-98.9176,-98.7301,-98.5278,-98.3105,-98.0785,
-97.8317,-97.5702,-97.294,-97.0031,-96.6976,-96.3776,-96.043,-95.694,-95.3306,-94.9528,-94.5607,-94.1544,-93.7339,-93.2993,-92.8506,-92.3879,
-91.9114,-91.421,-90.9168,-90.3989,-89.8674,-89.3224,-88.7639,-88.1921,-87.607,-87.0087,-86.3973,-85.7728,-85.1355,-84.4853,-83.8224,-83.1469,
-82.4589,-81.7585,-81.0457,-80.3207,-79.5837,-78.8346,-78.0737,-77.301,-76.5167,-75.7208,-74.9136,-74.0951,-73.2654,-72.4247,-71.573,-70.7107,
-69.8376,-68.954,-68.0601,-67.1559,-66.2415,-65.3172,-64.3831,-63.4393,-62.4859,-61.5231,-60.5511,-59.5699,-58.5798,-57.5808,-56.5732,-55.557,
-54.5325,-53.4997,-52.4589,-51.4102,-50.3538,-49.2898,-48.2184,-47.1396,-46.0538,-44.9611,-43.8616,-42.7555,-41.6429,-40.5241,-39.3992,-38.2683,
-37.1317,-35.9895,-34.8419,-33.6889,-32.531,-31.3681,-30.2006,-29.0284,-27.8519,-26.6712,-25.4865,-24.298,-23.1058,-21.9101,-20.7111,-19.509,
-18.304,-17.0961,-15.8858,-14.673,-13.458,-12.241,-11.0222,-9.80168,-8.57969,-7.35636,-6.13203,-4.90672,-3.68072,-2.45402,-1.22709,
